ACCELEROMETER X,ACCELEROMETER Y,ACCELEROMETER Z,GRAVITY X,GRAVITY Y,GRAVITY Z,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,LIGHT,MAGNETIC FIELD X,MAGNETIC FIELD Y,MAGNETIC FIELD Z,ORIENTATION Z,ORIENTATION X,ORIENTATION Y,PROXIMITY,SOUND LEVEL,LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time,YYYY-MO-DD HH-MI-SS_SSS
0.688,1.838,9.703,0.6864,1.7847,9.6184,0.0016,0.0533,0.0846,-3.37,0.52,14.23,1734,-31.23,71.99,-22.82,21.23,-10.49,-4.08,1,64.946,48° 9‘  48.6337‘‘ N,11° 33‘  31.4456‘‘ E,541.7,NaN,0,5.3,0,25-Aug,5,2018-11-08 11:27:38:894
1.092,2.097,10.277,0.5822,1.6163,9.655,0.5098,0.4807,0.622,6.77,16.75,13.25,1872,-28.52,74.06,-22.67,19.47,-9.2,-4.19,1,58.673,48° 9‘  48.6337‘‘ N,11° 33‘  31.4456‘‘ E,541.7,NaN,0,5.3,0,25-Aug,254,2018-11-08 11:27:39:143
-0.33,1.822,10.038,0.1426,1.9396,9.6119,-0.4036,-0.1636,0.2481,-0.99,18.01,3.87,2376,-24.54,76.33,-22.31,17.36,-11.41,-0.85,1,51.621,48° 9‘  48.6337‘‘ N,11° 33‘  31.4456‘‘ E,541.7,NaN,0,5.3,0,25-Aug,504,2018-11-08 11:27:39:393
-0.839,2.478,9.202,-0.1958,1.8745,9.6238,-0.6432,0.6035,-0.4218,0.83,12.41,3.66,2502,-22.55,77.17,-21.79,16.05,-11.49,-0.06,1,62.037,48° 9‘  48.6337‘‘ N,11° 33‘  31.4456‘‘ E,541.7,NaN,0,5.3,0,25-Aug,755,2018-11-08 11:27:39:644
-0.205,3.288,9.179,-0.1659,2.0827,9.5815,-0.0391,1.2053,-0.4025,3.41,-8.37,13.25,2428,-20.75,78.04,-21.43,14.84,-12.26,0.99,1,59.583,48° 9‘  48.6337‘‘ N,11° 33‘  31.4456‘‘ E,541.7,NaN,0,5.3,0,25-Aug,1005,2018-11-08 11:27:39:894
1.031,-0.139,11.687,0.5224,2.1996,9.5425,0.5086,-2.3386,2.1445,22.24,24.66,-1.86,1891,-20.12,78.08,-21.11,12.74,-13.48,-4.41,1,59.583,48° 9‘  48.6337‘‘ N,11° 33‘  31.4456‘‘ E,541.7,NaN,0,5.3,0,25-Aug,1255,2018-11-08 11:27:40:144
0.367,1.726,8.388,0.59,2.6535,9.4224,-0.223,-0.9275,-1.0344,-9.67,5.69,8.07,1776,-19.4,77.45,-21.31,12.39,-15.94,-3.71,1,51.629,48° 9‘  48.6337‘‘ N,11° 33‘  31.4456‘‘ E,541.7,NaN,0,5.3,0,25-Aug,1504,2018-11-08 11:27:40:393
1.32,2.732,11.423,0.3811,2.0896,9.5739,0.9389,0.6424,1.8491,-2.11,4.22,1.98,1813,-18.96,76.93,-21.11,13.23,-13.69,-0.64,1,62.709,48° 9‘  48.6337‘‘ N,11° 33‘  31.4456‘‘ E,541.7,NaN,0,5.3,0,25-Aug,1754,2018-11-08 11:27:40:643
2.078,-0.061,11.061,-0.4049,2.6152,9.4428,2.4829,-2.6762,1.6182,9.15,-4.8,10.17,1841,-18.52,75.97,-20.24,14.26,-15.55,2.66,1,57.329,48° 9‘  48.6337‘‘ N,11° 33‘  31.4353‘‘ E,541.7,NaN,0,5.3,0,25-Aug,2004,2018-11-08 11:27:40:893
0.035,2.348,7.908,-0.4106,2.9529,9.3425,0.4456,-0.6049,-1.4345,-28.08,-15.02,7.58,1668,-17.65,75.02,-19.04,13.93,-17.56,3.34,1,54.635,48° 9‘  48.6337‘‘ N,11° 33‘  31.4353‘‘ E,541.7,NaN,0,5.3,0,25-Aug,2255,2018-11-08 11:27:41:144
-0.999,2.392,11.046,-0.0151,2.432,9.5003,-0.9839,-0.04,1.5457,6.91,6.04,-4.87,1155,-16.77,72.98,-16.81,12.8,-14.36,0.09,1,54.635,48° 9‘  48.6337‘‘ N,11° 33‘  31.4353‘‘ E,541.7,NaN,0,5.3,0,25-Aug,2505,2018-11-08 11:27:41:394
0.519,1.464,9.085,0.1385,2.2,9.5557,0.3805,-0.736,-0.4707,-9.74,13.32,-12.99,823,-16.77,71.99,-14.66,12.63,-12.96,-1.87,1,52.042,48° 9‘  48.6337‘‘ N,11° 33‘  31.4353‘‘ E,541.7,NaN,0,5.3,0,25-Aug,2755,2018-11-08 11:27:41:644
-0.89,1.632,10.794,-0.1881,1.4134,9.7024,-0.7019,0.2186,1.0916,-27.94,-3.76,-2.84,773,-16.53,71.59,-11.39,13.3,-8.88,1.08,1,53.536,48° 9‘  48.6337‘‘ N,11° 33‘  31.4353‘‘ E,541.7,NaN,0,5.3,0,25-Aug,3004,2018-11-08 11:27:41:893
-0.532,0.347,9.122,-0.3091,1.117,9.7379,-0.2433,-0.5828,-1.5418,42.47,1.7,12.9,769,-16.37,71.55,-9.68,12.67,-6.14,1.87,1,67.878,48° 9‘  48.6337‘‘ N,11° 33‘  31.4353‘‘ E,541.7,NaN,0,5.3,0,25-Aug,3255,2018-11-08 11:27:42:144
-0.528,1.959,8.105,-0.0844,1.8019,9.6393,-0.4436,0.1571,-1.5343,7.61,-0.32,-7.04,803,-16.93,71.47,-8.44,13.46,-10.41,0.42,1,67.878,48° 9‘  48.6337‘‘ N,11° 33‘  31.4353‘‘ E,541.7,NaN,0,5.3,0,25-Aug,3505,2018-11-08 11:27:42:394
-0.059,2.426,10.907,0.027,1.7759,9.6445,-0.086,0.6501,1.2625,1.11,-29.72,-6.2,885,-18.08,71.79,-8.84,14.08,-10.64,0.98,1,67.805,48° 9‘  48.6337‘‘ N,11° 33‘  31.4353‘‘ E,541.7,NaN,0,5.3,0,25-Aug,3755,2018-11-08 11:27:42:644
0.055,1.257,7.7,0.6399,1.8736,9.6047,-0.5849,-0.6166,-1.9047,22.59,12.34,-1.86,931,-20.36,72.82,-11.15,14.48,-10.31,-4.3,1,68.094,48° 9‘  48.6337‘‘ N,11° 33‘  31.4285‘‘ E,541.7,NaN,0,5.4,0,25-Aug,4005,2018-11-08 11:27:42:894
0.428,2.789,8.863,-0.1144,2.1004,9.5784,0.5424,0.6886,-0.7154,-9.25,1.77,15.28,945,-21.31,73.26,-13.82,15.85,-12.53,0.38,1,66.741,48° 9‘  48.6337‘‘ N,11° 33‘  31.4285‘‘ E,541.7,NaN,0,5.4,0,25-Aug,4258,2018-11-08 11:27:43:147
-0.829,0.08,14.896,-0.5834,1.6171,9.6548,-0.2456,-1.5371,5.2412,-28.57,3.45,22.35,985,-20.92,74.18,-17.81,16.21,-10.47,3.41,1,66.741,48° 9‘  48.6337‘‘ N,11° 33‘  31.4285‘‘ E,541.7,NaN,0,5.4,0,25-Aug,4505,2018-11-08 11:27:43:394
-0.14,1.844,7.862,-0.2843,1.8842,9.6197,0.1443,-0.0402,-1.7577,-1.2,-13.76,1.43,975,-19.64,74.78,-19.72,15.13,-11.12,2.6,1,63.105,48° 9‘  48.6337‘‘ N,11° 33‘  31.4285‘‘ E,541.7,NaN,0,5.4,0,25-Aug,4755,2018-11-08 11:27:43:644
