ACCELEROMETER X,ACCELEROMETER Y,ACCELEROMETER Z,LIGHT,PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time,YYYY-MO-DD HH-MI-SS_SSS
2.25,3.371,9.711,1480,1,23.24,,,,NaN,,,,0 / 0,8,2018-11-09 17:05:58:992
4.376,5.008,5.181,824,1,23.24,,,,NaN,,,,0 / 0,108,2018-11-09 17:05:59:092
2.221,-1.254,-2.145,755,1,23.24,,,,NaN,,,,0 / 0,208,2018-11-09 17:05:59:192
3.265,-2.384,7.355,752,1,41.74,,,,NaN,,,,0 / 0,308,2018-11-09 17:05:59:292
10.592,-7.46,4.798,611,1,41.74,,,,NaN,,,,0 / 0,408,2018-11-09 17:05:59:392
10.592,-7.46,4.798,611,1,41.74,,,,NaN,,,,0 / 0,509,2018-11-09 17:05:59:493
10.592,-7.46,4.798,611,1,41.74,,,,NaN,,,,0 / 0,608,2018-11-09 17:05:59:592
10.592,-7.46,4.798,611,1,41.74,,,,NaN,,,,0 / 0,709,2018-11-09 17:05:59:693
4.587,-6.062,-2.988,373,1,41.74,,,,NaN,,,,0 / 0,808,2018-11-09 17:05:59:792
3.639,-7.106,-1.618,377,1,41.04,,,,NaN,,,,0 / 0,908,2018-11-09 17:05:59:892
-0.44,-8.466,2.087,368,1,41.04,,,,NaN,,,,0 / 0,1009,2018-11-09 17:05:59:993
10.094,-8.188,-0.095,240,1,41.04,,,,NaN,,,,0 / 0,1108,2018-11-09 17:06:00:092
2.786,-7.987,0.909,240,0,43.06,,,,NaN,,,,0 / 0,1208,2018-11-09 17:06:00:192
3.064,-12.756,0.775,14,0,43.06,,,,NaN,,,,0 / 0,1309,2018-11-09 17:06:00:293
2.193,-5.296,1.312,8,0,43.06,,,,NaN,,,,0 / 0,1408,2018-11-09 17:06:00:392
-0.89,-3.629,0.086,0,0,43.06,,,,NaN,,,,0 / 0,1508,2018-11-09 17:06:00:492
-2.078,-6.972,-8.274,25,0,33.73,,,,NaN,,,,0 / 0,1608,2018-11-09 17:06:00:592
-0.354,-6.253,0.928,17,0,33.73,,,,NaN,,,,0 / 0,1708,2018-11-09 17:06:00:692
-0.919,-8.906,-1.685,15,0,33.73,,,,NaN,,,,0 / 0,1808,2018-11-09 17:06:00:792
-1.34,-9.519,-1.589,0,0,54.35,,,,NaN,,,,0 / 0,1908,2018-11-09 17:06:00:892
-1.13,-9.51,-1.149,23,0,54.35,,,,NaN,,,,0 / 0,2008,2018-11-09 17:06:00:992
-0.747,-9.462,-1.082,17,0,54.35,,,,NaN,,,,0 / 0,2108,2018-11-09 17:06:01:092
-1.522,-9.596,-1.063,10,0,54.02,,,,NaN,,,,0 / 0,2208,2018-11-09 17:06:01:192
-1.206,-9.49,0.047,19,0,54.02,,,,NaN,,,,0 / 0,2308,2018-11-09 17:06:01:292
-0.402,-9.146,-1.302,8,0,54.02,,,,NaN,,,,0 / 0,2409,2018-11-09 17:06:01:393
1.158,-10.515,-0.9,20,0,37.26,,,,NaN,,,,0 / 0,2508,2018-11-09 17:06:01:492
-2.346,-9.979,1.264,16,0,37.26,,,,NaN,,,,0 / 0,2609,2018-11-09 17:06:01:593
-1.225,-9.203,0.402,17,0,37.26,,,,NaN,,,,0 / 0,2708,2018-11-09 17:06:01:692
-3.61,-11.052,4.261,12,0,43.17,,,,NaN,,,,0 / 0,2808,2018-11-09 17:06:01:792
-3.371,-9.069,0.114,9,0,43.17,,,,NaN,,,,0 / 0,2908,2018-11-09 17:06:01:892
-2.183,-8.284,2.02,5,0,43.17,,,,NaN,,,,0 / 0,3009,2018-11-09 17:06:01:993
-2.164,-7.613,3.371,11,0,44.34,,,,NaN,,,,0 / 0,3108,2018-11-09 17:06:02:092
-3.304,-7.661,4.233,6,0,44.34,,,,NaN,,,,0 / 0,3208,2018-11-09 17:06:02:192
-2.212,-5.889,6.253,23,0,44.34,,,,NaN,,,,0 / 0,3308,2018-11-09 17:06:02:292
-2.825,-7.489,9.002,0,0,51.4,,,,NaN,,,,0 / 0,3408,2018-11-09 17:06:02:392
-5.842,-3.275,9.998,22,0,51.4,,,,NaN,,,,0 / 0,3508,2018-11-09 17:06:02:492
-0.498,-3.61,12.957,12,0,51.4,,,,NaN,,,,0 / 0,3608,2018-11-09 17:06:02:592
-5.162,-2.039,13.838,7,0,53.72,,,,NaN,,,,0 / 0,3708,2018-11-09 17:06:02:692
-4.836,-1.608,10.898,8,0,53.72,,,,NaN,,,,0 / 0,3808,2018-11-09 17:06:02:792
-4.769,-2.059,11.55,22,0,53.72,,,,NaN,,,,0 / 0,3908,2018-11-09 17:06:02:892
-4.194,-3.993,10.103,18,0,53.72,,,,NaN,,,,0 / 0,4009,2018-11-09 17:06:02:993
-4.367,-5.018,9.002,27,0,60.17,,,,NaN,,,,0 / 0,4108,2018-11-09 17:06:03:092
-3.869,-6.253,7.374,6,0,60.17,,,,NaN,,,,0 / 0,4209,2018-11-09 17:06:03:193
-3.38,-7.412,4.999,0,0,60.17,,,,NaN,,,,0 / 0,4308,2018-11-09 17:06:03:292
-1.857,-6.464,2.815,20,0,61.55,,,,NaN,,,,0 / 0,4408,2018-11-09 17:06:03:392
-1.455,-7.364,3.399,12,0,61.55,,,,NaN,,,,0 / 0,4508,2018-11-09 17:06:03:492
-3.304,-10.889,3.256,2,0,61.55,,,,NaN,,,,0 / 0,4608,2018-11-09 17:06:03:592
-1.963,-9.768,0.928,14,0,54.84,,,,NaN,,,,0 / 0,4708,2018-11-09 17:06:03:692
-2.423,-9.136,1.158,19,0,54.84,,,,NaN,,,,0 / 0,4808,2018-11-09 17:06:03:792
-0.699,-9.165,1.312,18,0,54.84,,,,NaN,,,,0 / 0,4908,2018-11-09 17:06:03:892
-2.758,-7.067,3.869,18,0,51.74,,,,NaN,,,,0 / 0,5008,2018-11-09 17:06:03:992
-2.403,-7.412,4.051,12,0,51.74,,,,NaN,,,,0 / 0,5108,2018-11-09 17:06:04:092
-2.796,-8.791,3.265,18,0,51.74,,,,NaN,,,,0 / 0,5208,2018-11-09 17:06:04:192
-3.917,-8.82,6.847,5,0,44.27,,,,NaN,,,,0 / 0,5308,2018-11-09 17:06:04:292
-4.031,-3.352,8.178,7,0,44.27,,,,NaN,,,,0 / 0,5408,2018-11-09 17:06:04:392
-6.052,-1.321,9.347,25,0,44.27,,,,NaN,,,,0 / 0,5509,2018-11-09 17:06:04:493
-5.602,-1.561,10.592,17,0,44.27,,,,NaN,,,,0 / 0,5608,2018-11-09 17:06:04:592
